MERCADO,CATEGORIA,MARCA,VARIABLES,RY 2023,RY 2024
T. GUATEMALA,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas (MULTI) - CATEGORIA,34.0%,29.8%
T. GUATEMALA,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas (MULTI) - CATEGORIA,10.0%,10.9%
T. GUATEMALA,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. GUATEMALA,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Unds - CATEGORIA,7.4%,10.3%
T. GUATEMALA,ACEITES Y MANTECAS,EL MOLINO,Part. de Vtas Unds - CATEGORIA,6.0%,7.0%
T. GUATEMALA,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Unds - CATEGORIA,24.9%,24.1%
T. GUATEMALA,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Unds - CATEGORIA,38.5%,35.2%
T. GUATEMALA,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Unds - CATEGORIA,8.3%,8.8%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Valor,"$64,779,563","$71,075,249"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas Valor,"$13,262,947","$17,853,967"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,IDEAL,Vtas Valor,"$9,692,150","$11,127,679"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Valor,"$15,049,392","$10,680,013"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,MAZOLA,Vtas Valor,"$9,377,958","$10,687,239"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,OLMECA,Vtas Valor,"$5,930,565","$5,734,251"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas (MULTI),"18,089,852","19,914,187"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas (MULTI),"3,597,863","5,437,417"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,IDEAL,Vtas (MULTI),"3,234,667","3,664,294"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas (MULTI),"4,776,235","3,691,291"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,MAZOLA,Vtas (MULTI),"2,720,412","3,108,510"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,OLMECA,Vtas (MULTI),"1,875,083","1,681,730"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Unds,"20,992,986","22,999,909"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas Unds,"4,301,930","6,597,249"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,IDEAL,Vtas Unds,"3,037,789","3,833,113"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Unds,"6,222,724","4,522,910"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,MAZOLA,Vtas Unds,"3,410,834","3,747,648"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,OLMECA,Vtas Unds,"1,620,163","1,569,150"
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Valor - CATEGORIA,20.5%,25.1%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Valor - CATEGORIA,15.0%,15.7%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Valor - CATEGORIA,23.2%,15.0%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Valor - CATEGORIA,14.5%,15.0%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,OLMECA,Part. de Vtas Valor - CATEGORIA,9.2%,8.1%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas (MULTI) - CATEGORIA,19.9%,27.3%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,IDEAL,Part. de Vtas (MULTI) - CATEGORIA,17.9%,18.4%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas (MULTI) - CATEGORIA,26.4%,18.5%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas (MULTI) - CATEGORIA,15.0%,15.6%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,OLMECA,Part. de Vtas (MULTI) - CATEGORIA,10.4%,8.4%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Unds - CATEGORIA,20.5%,28.7%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Unds - CATEGORIA,14.5%,16.7%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,LA PATRONA (NAL),Part. de Vtas Unds - CATEGORIA,29.6%,19.7%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Unds - CATEGORIA,16.2%,16.3%
T. GUATEMALA AUTOSERVICIOS,ACEITES Y MANTECAS,OLMECA,Part. de Vtas Unds - CATEGORIA,7.7%,6.8%
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Valor,"$60,117,672","$67,811,487"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,EL MOLINO,Vtas Valor,"$4,769,498","$5,946,309"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,IDEAL,Vtas Valor,"$18,202,705","$19,397,171"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (MEX),Vtas Valor,"$2,241,596","$3,149,101"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas Valor,"$24,101,770","$26,803,812"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,MAZOLA,Vtas Valor,"$3,415,885","$4,645,523"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas (MULTI),"19,064,042","20,565,275"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,EL MOLINO,Vtas (MULTI),"1,542,155","1,796,334"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,IDEAL,Vtas (MULTI),"5,537,504","5,663,890"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (MEX),Vtas (MULTI),"770,753","1,038,437"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,LA PATRONA (NAL),Vtas (MULTI),"7,840,403","8,364,435"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,MAZOLA,Vtas (MULTI),"999,317","1,307,568"
T. GUATEMALA TRADIC.,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Unds,"41,434,926","44,748,380"
